Postcode;PercentageTrees;PercentageBushes;PercentageGrass
1785;32,35;8,18;40,83
1786;24,02;8,90;67,22
1787;29,54;11,03;54,02
1788;16,72;10,53;38,43
1789;22,03;12,49;73,76
1791;51,82;10,14;56,95
1792;26,17;11,47;64,41
1793;24,36;11,95;70,22
1794;23,88;11,81;66,86
1795;26,35;14,95;80,99
1796;45,24;12,51;69,17
1797;21,26;16,00;82,55
1811;27,74;6,91;22,79
1812;27,05;7,38;54,76
1813;32,59;7,39;37,38
1814;21,75;8,62;31,95
1815;41,59;9,13;33,15
1816;32,20;8,43;48,15
1817;31,15;8,96;56,42
1821;22,45;6,29;31,04
1822;25,53;7,60;44,71
1823;24,03;8,26;42,46
1824;30,87;9,73;33,22
1825;29,95;9,55;40,61
1826;30,17;10,06;34,07
1827;21,38;9,40;36,43
1829;23,68;9,54;46,21
1831;28,79;9,85;60,31
1832;52,49;9,55;59,88
1834;21,59;9,53;48,35
1841;32,26;6,93;50,11
1842;32,24;7,42;60,48
1843;20,54;7,48;54,38
1844;27,65;9,62;56,75
1846;25,49;6,91;60,82
1847;31,88;7,34;59,23
1851;42,60;9,11;45,79
1852;39,40;9,94;45,74
1853;19,47;8,34;54,09
1861;56,17;12,06;47,15
1862;33,02;10,14;61,94
1865;48,21;16,07;67,92
1871;60,08;9,75;48,47
1873;43,57;14,39;37,65
1901;57,27;10,22;53,65
1902;26,63;10,74;54,53
1906;23,54;10,31;56,83
1911;21,42;8,63;57,60
1921;20,88;8,65;58,28
1931;27,50;10,85;68,65
1934;29,66;10,77;69,95
1935;44,99;11,00;72,06
1941;16,42;6,59;24,88
1942;31,41;10,16;40,74
1943;40,44;9,92;45,83
1944;24,47;9,68;46,95
1945;23,89;8,91;39,50
1946;19,81;6,95;43,72
1947;18,29;7,80;48,41
1948;21,57;7,21;57,35
1949;30,07;14,72;58,66
1951;28,94;9,14;53,14
1961;20,80;7,93;29,21
1962;32,97;8,20;41,75
1963;24,83;9,41;42,15
1964;22,47;9,59;37,50
1965;18,08;9,35;41,47
1966;25,95;7,99;35,57
1967;23,65;9,03;62,12
1968;47,92;9,16;57,34
1969;53,27;11,67;57,83
1971;55,22;9,64;27,96
1972;42,75;11,52;35,69
1973;20,63;8,58;43,54
1974;17,50;13,74;72,38
1975;19,31;7,37;50,02
1976;13,18;17,41;69,40
1981;49,81;11,53;47,69
1985;40,72;10,03;41,03
1991;23,25;9,10;49,77
1992;9,50;7,29;35,95
2011;24,52;7,36;24,28
2012;38,81;9,91;33,09
2013;16,87;11,28;27,50
2014;20,38;9,67;35,23
2015;28,86;10,60;41,24
2019;11,53;10,33;21,33
